country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,people_fully_vaccinated,HDI
UK,Europe,2215985,17678,21677896,3521,323264,2578,51926496,757495,6855166,31310000,149080378,0.929
Ukraine,Europe,5646,18449,,,115771,258,19521252,451415,43244553,286,31668577,0.77
United Arab Emirates,Asia,92484,232,886128,1454,8924,228,15913283,15732628,111295,415,2037996,0.91
Uruguay,South America,9254,7213,892434,2893,258152,263,6114822,174915,3496151,59319484711,29222,0.81
USA,North America,8429473,126646,8124426,1938567,251659,368,11688255,338939,334617623,23320000,607588353,0.921
Uzbekistan,Asia,23882,1637,236974,191,6947,48,1377915,488,34372515,692389316,18144247,0.73
Vanuatu,Australia/Oceania,8457,14,7974,469,26386,44,24976,77926,3258,956332655.7,301000,0.61
Venezuela,South America,522921,5711,51617,14,18487,22,335914,118752,2828599,482400,37860994,0.691
Viet Nam,Asia,169663,4365,93554,1298525,188,435,85811485,86748,98969721,366100,223974640,0.7
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,41755,644,258,188614,1873,188,16426,0.763
Western Sahara,Africa,1,1,9,,16,2,,,624681,2500,10,0.464
Yemen,Asia,11819,2149,99,661,381,69,265253,8543,314915,2161000,773549,0.46
Zambia,Africa,32591,3983,315997,611,16575,26,3452554,178497,19342381,22147634727,87474,0.57
Zimbabwe,Africa,24926,5482,242417,137,16324,359,2287793,149863,15265849,28371238666,11851836,0.59
