country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
Saudi Arabia,Asia,759226,9116,743921,6189,61,21194,254,42144668,1176452,35823522,8.34E+05,0.88 ,2541.4359
Senegal,Africa,8639,1966,8459,14,,4898,112,181824,61589,17565349,27625388352,0.51 ,143.8733
Serbia,Europe,212836,1649,198829,8578,12,232112,1851,9596815,116664,8671838,63824765,0.80 ,
Seychelles,Africa,43235,167,42553,515,,43466,1679,,,99481,1454458184,0.79 ,8.3494
Sierra Leone,Africa,7682,125,,,,928,15,259958,314,827928,442237864,0.48 ,419.7335
Singapore,Asia,124233,1362,116214,76731,8,28933,229,23767171,43881,593634,3.97E+05,0.94 ,
Sint Maarten,North America,1123,86,9985,52,1,23128,1964,6256,1417354,43783,,,
Slovakia,Europe,178793,241,1761664,5388,3,32733,3667,7127129,134244,5464567,,0.85 ,
Slovenia,Europe,119468,6622,13559,9287,9,49254,3184,2656926,1277694,27947,61748586535,0.92 ,
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2,2533,23,5117,7124,718243,1631486532,0.56 ,
Somalia,Africa,26518,135,13182,11986,,1586,81,4466,23953,16718643,762811,..,
South Africa,Africa,3887449,1753,378347,78349,192,6442,166,24841314,49239,671292,4.19E+04,0.71 ,213.8797
South Korea,Asia,1778261,2379,,,338,346282,462,158465,37763,51351355,,,4439.5498
South Sudan,Africa,17525,138,13514,3873,1,1532,12,389677,3468,11438136,,0.39 ,38.852
Spain,Europe,12127122,15444,1154889,473589,339,25919,2254,47136328,167352,4678853,1.43E+05,0.91 ,473.5254
Sri Lanka,Asia,663671,16511,646921,239,,3753,765,6486117,3555,2158463,88927263725,0.78 ,
State Of Palestine,Asia,582119,5353,576684,82,17,19376,16,378533,578432,532223,,,
Sudan,Africa,62161,4936,,,,1359,18,562941,1233,45755378,3432658557,0.51 ,1341.6394
Suriname,South America,88,1337,49455,29216,,134147,2242,236268,396143,596421,298476244,0.73 ,
Swaziland,Africa,71698,142,69549,747,11,6631,1186,121394,863732,1182536,,,
Sweden,Europe,254894,18864,2477725,835,9,24518,1846,18553837,181657,1216549,6.36E+05,0.95 ,
Switzerland,Europe,3631881,13882,3551493,6656,78,4148,1582,292767,2385592,87725,8.64E+02,0.96 ,61.315
Syria,Asia,55869,315,52479,24,,354,172,146269,7996,18292142,,,
Taiwan,Asia,768543,168,6634,76841,,32161,45,1627475,678221,2389756,,,275.6187
Tajikistan,Asia,17388,124,17264,,,175,12,,,9936493,874627636,0.69 ,
Tanzania,Africa,35354,84,,,7,562,13,,,6291456,6784149193,,3216.5791
